"Date","Site sessions","Phone clicked","Email clicked","Whatsapp clicked"
"12/02/2026","34","5","0","0"
"11/02/2026","37","5","0","0"
"10/02/2026","47","4","0","0"
"09/02/2026","41","7","0","0"
"08/02/2026","14","1","0","0"
"07/02/2026","10","1","0","0"
"06/02/2026","19","3","0","0"
"05/02/2026","25","2","0","0"
"04/02/2026","34","9","0","0"
"03/02/2026","39","10","0","0"
"02/02/2026","51","10","0","0"
"01/02/2026","18","1","0","0"
"31/01/2026","23","2","0","0"
"30/01/2026","48","7","0","0"
"29/01/2026","39","6","0","0"
"28/01/2026","31","5","0","0"
"27/01/2026","27","3","0","0"
"26/01/2026","36","7","0","0"
"24/01/2026","22","3","0","0"
"23/01/2026","22","3","0","0"
"22/01/2026","14","1","0","0"
"21/01/2026","22","4","0","0"
"20/01/2026","25","3","0","0"
"19/01/2026","42","6","0","0"
"18/01/2026","16","1","0","0"
"17/01/2026","11","4","0","0"
"16/01/2026","15","1","0","0"
"15/01/2026","18","2","0","0"
"14/01/2026","31","5","0","0"
"13/01/2026","23","2","0","0"
"12/01/2026","54","11","0","0"
"11/01/2026","21","4","0","0"
"10/01/2026","12","1","0","0"
"09/01/2026","24","6","0","0"
"07/01/2026","26","6","0","0"
"06/01/2026","29","3","0","0"
"05/01/2026","30","4","0","0"
"04/01/2026","14","4","0","0"
"03/01/2026","18","3","0","0"
"02/01/2026","26","5","0","0"
"01/01/2026","14","3","0","0"
"31/12/2025","17","2","0","0"
"30/12/2025","22","2","0","0"
"29/12/2025","40","6","0","0"
"28/12/2025","16","1","0","0"
"27/12/2025","12","1","0","0"
"26/12/2025","37","8","0","0"
"24/12/2025","20","5","0","0"
"23/12/2025","22","5","0","0"
"22/12/2025","35","9","0","0"
"20/12/2025","16","3","0","0"
"19/12/2025","18","4","0","0"
"18/12/2025","21","2","0","0"
"17/12/2025","24","7","0","0"
"16/12/2025","26","4","0","0"
"15/12/2025","46","13","0","0"
"14/12/2025","22","2","0","0"
"13/12/2025","24","1","0","0"
"12/12/2025","19","8","0","0"
