"Search query","Impressions","Clicks","CTR","Avg. position"
"kidslink bedok","6,100","559","9.2%","2.5"
"kidslink","5,403","533","9.9%","2.6"
"kidslink childrens clinic","4,239","400","9.4%","1.4"
"kidslink sengkang","2,359","163","6.9%","1"
"kidslink jurong","2,354","152","6.5%","1"
"kidslink choa chu kang","1,266","106","8.4%","1"
"kids link","989","87","8.8%","1.7"
"kidslink cck","1,100","79","7.2%","1"
"lim woan huah","303","77","25.4%","1.8"
"kids link sengkang","797","71","8.9%","1"
"kidslink childrens clinic (jurong) pte ltd","881","66","7.5%","1"
"kidslink clinic","782","60","7.7%","1.5"
"kidlink","462","59","12.8%","1.1"
"dr lim woan huah","389","50","12.9%","2"
"kidslink childrens clinic jurong","790","46","5.8%","1"
"kidzlink","434","45","10.4%","1.8"
"kids clinic bedok","1,360","44","3.2%","2.8"
"kidslink compass one","597","44","7.4%","1"
"kidslink jurong east","594","43","7.2%","1"
"kidslink childrens clinic singapore","400","40","10%","1.2"
"kids link jurong","480","36","7.5%","1"
"dr vanessa tan","765","36","4.7%","5.9"
"kidslink clinic sengkang","582","31","5.3%","1"
"kidslink childrens clinic cck","632","31","4.9%","1"
"pediatrician choa chu kang","357","31","8.7%","1.8"
"kids clinic","2,772","30","1.1%","21.6"
"kidslink lot 1","170","30","17.6%","1"
"kids link clinic","331","29","8.8%","3"
"kidslink childrens clinic reviews","1,091","28","2.6%","2.6"
"kids clinic near me","2,230","25","1.1%","9.3"
"kidslink childrens clinic pte ltd","194","25","12.9%","1"
"kidslink compassvale","428","25","5.8%","1"
"kidslink clinic cck","269","24","8.9%","1"
"bedok kidslink","239","24","10%","2.4"
"kidslink children clinic","145","23","15.9%","1.6"
"kids clinic sengkang","5,375","23","0.4%","7.8"
"bedok kids clinic","341","21","6.2%","2.6"
"kids clinic jurong","377","21","5.6%","1.1"
"pediatrician bedok","333","20","6%","2.1"
"kids link bedok","168","20","11.9%","2.4"
"children clinic","2,069","20","1%","8.5"
"kidslink jurong west","352","19","5.4%","1"
"kidslink childrens clinic (jurong) pte ltd reviews","529","19","3.6%","2.1"
"pediatrician sengkang","802","18","2.2%","5.8"
"dr winston ng","209","18","8.6%","6.3"
"sengkang pd","238","17","7.1%","4.5"
"kidslink childrens clinic photos","308","17","5.5%","2.2"
"children clinic near me","2,019","17","0.8%","9.7"
"kids clinic bedok north","294","17","5.8%","2.5"
"children clinic choa chu kang","154","17","11%","1.6"
"kidslink cck opening hours","97","16","16.5%","1.8"
"kidslink childrens clinic jurong east","160","16","10%","1"
"baby clinic near me","2,396","16","0.7%","9.6"
"paediatric clinic","1,462","15","1%","13.9"
"kidslink childrens clinic bedok","122","15","12.3%","2.2"
"paediatric clinic sengkang","315","14","4.4%","3.8"
"pediatrician near me","865","14","1.6%","22.6"
"pd sengkang","272","14","5.1%","4.4"
"pd near me","1,302","14","1.1%","8.4"
"kids link jurong east","162","14","8.6%","1"
"pediatrician jurong east","260","13","5%","3.1"
"paediatric clinic jurong","187","12","6.4%","2"
"kidslink jurong reviews","62","12","19.4%","1.3"
"childrens clinic","1,000","12","1.2%","5.7"
"kids clinic jurong east","96","11","11.5%","1.4"
"kidslink choa chu kang opening hours","35","10","28.6%","1.7"
"pediatric clinic singapore","1,175","10","0.9%","9.8"
"children clinic singapore","1,837","10","0.5%","10.4"
"kidslink childrens clinic singapore reviews","753","9","1.2%","2.5"
"paediatric clinic bedok","182","9","4.9%","2.3"
"paediatric clinic near me","764","9","1.2%","12.7"
"kid link","37","8","21.6%","1.5"
"baby and child clinic near me","607","8","1.3%","10"
"kidslink clinic bedok","121","8","6.6%","2.7"
"kidslink tampines","76","7","9.2%","2"
"children clinic sengkang","246","7","2.8%","3.5"
"dr heng joo teck","41","7","17.1%","1"
"sengkang paediatrician","246","7","2.8%","5.1"
"pediatrician singapore near me","1,031","7","0.7%","12.8"
"kidslink dr heng","139","7","5%","1"
"sengkang kids clinic","1,181","6","0.5%","8.3"
"children clinic bedok","90","6","6.7%","2"
"pediatrician","756","6","0.8%","17.4"
"kidslink compass","84","6","7.1%","1"
"pediatrician singapore","1,367","6","0.4%","26.1"
"pediatric clinic","981","5","0.5%","11.8"
"kids clinic singapore","546","5","0.9%","8.2"
"kidslink clinic choa chu kang","81","5","6.2%","1"
"child clinic near me","846","5","0.6%","9.6"
"pd clinic near me","345","5","1.4%","9.9"
"24-hour pediatric clinic near sengkang","208","5","2.4%","10.2"
"pediatric clinic near me","802","5","0.6%","9.8"
"baby clinic sengkang","368","5","1.4%","5.3"
"baby clinic","662","4","0.6%","24.1"
"childrens clinic near me","662","4","0.6%","8.7"
"kidslink clinic jurong east","87","4","4.6%","1"
"sengkang pediatrician","311","4","1.3%","5.3"
"paediatrics near me","32","3","9.4%","14.4"
"bedok pediatrician","34","3","8.8%","2.4"
"kidslink childrens clinic singapore photos","50","3","6%","2"
