"Date","Page views","Site sessions","Unique visitors","Bounce rate","Avg. session duration"
"12/02/2021","24","18","18","72%","3m, 45s"
"11/02/2021","13","12","10","92%","4m, 13s"
"10/02/2021","19","17","12","94%","41s"
"09/02/2021","38","32","32","84%","10m, 47s"
"08/02/2021","31","30","25","97%","16s"
"07/02/2021","11","11","10","100%",
"06/02/2021","28","22","21","77%","11m, 4s"
"05/02/2021","32","27","24","85%","43s, 500ms"
"04/02/2021","20","20","20","100%",
"03/02/2021","40","37","25","92%","2m, 21s"
"02/02/2021","29","26","25","92%","2m, 11s"
"01/02/2021","58","53","42","92%","4m, 13s"
"31/01/2021","12","12","12","100%",
"30/01/2021","26","25","17","96%","1m, 9s"
"29/01/2021","29","27","22","93%","12m, 53s"
"28/01/2021","23","20","19","85%","2m, 7s"
"27/01/2021","27","27","18","100%",
"26/01/2021","26","21","19","76%","11m, 33s"
"25/01/2021","45","40","33","90%","6m, 10s"
"24/01/2021","23","18","16","83%","7m, 31s"
"23/01/2021","26","23","21","87%","1m, 6s"
"22/01/2021","38","35","34","91%","7m, 33s"
"21/01/2021","21","19","18","95%","3m, 44s"
"20/01/2021","38","36","32","94%","13m, 20s"
"19/01/2021","33","32","28","97%","1m, 32s"
"18/01/2021","30","28","25","93%","5m, 25s"
"17/01/2021","20","18","14","89%","2m, 15s"
"16/01/2021","19","19","19","100%",
"15/01/2021","16","16","16","100%",
"14/01/2021","24","20","19","80%","3m, 27s"
"13/01/2021","29","25","22","92%","5m, 29s"
"12/01/2021","25","23","22","91%","7m, 37s"
"11/01/2021","43","34","25","79%","6m, 52s"
"10/01/2021","14","14","13","100%",
"09/01/2021","16","15","13","93%","8m, 1s"
"08/01/2021","35","31","23","87%","6m, 13s"
"07/01/2021","21","21","18","100%",
"06/01/2021","29","27","23","96%","28m, 23s"
"05/01/2021","29","26","23","88%","3m, 15s"
"04/01/2021","39","35","28","91%","1m, 46s"
"03/01/2021","14","13","12","92%","11s"
"02/01/2021","25","22","20","91%","45s"
"01/01/2021","28","26","22","92%","1m, 18s"
"31/12/2020","39","34","23","85%","5m, 53s"
"30/12/2020","57","48","37","90%","15m, 25s"
"29/12/2020","35","30","26","83%","7m, 26s"
"28/12/2020","40","40","32","100%",
"27/12/2020","14","12","12","83%","12m"
"26/12/2020","31","31","22","100%",
"25/12/2020","20","19","16","95%","1m, 4s"
"24/12/2020","20","17","16","88%","12m, 22s"
"23/12/2020","23","22","19","95%","1m, 48s"
"22/12/2020","26","23","18","91%","8m, 11s"
"21/12/2020","37","36","33","97%","25m, 57s"
"20/12/2020","21","19","17","89%","18s, 500ms"
"19/12/2020","18","15","14","87%","19m, 7s"
"18/12/2020","21","18","16","83%","2m, 46s"
"17/12/2020","25","20","19","85%","5m, 32s"
"16/12/2020","31","29","23","93%","25s"
"15/12/2020","27","25","23","96%","4m, 24s"
"14/12/2020","23","20","19","90%","7m, 22s"
"13/12/2020","19","16","16","81%","2m, 58s"
"12/12/2020","19","18","17","94%","5m, 46s"
"11/12/2020","26","22","20","86%","3m, 32s"
"10/12/2020","23","19","17","79%","1m, 48s"
"09/12/2020","22","20","16","90%","55s, 500ms"
"08/12/2020","23","22","19","95%","14m, 11s"
"07/12/2020","28","24","22","83%","6m, 7s"
"06/12/2020","14","13","11","92%","1m, 38s"
"05/12/2020","22","17","15","76%","11m, 7s"
"04/12/2020","37","31","25","84%","2m, 16s"
"03/12/2020","21","15","14","87%","11m, 21s"
"02/12/2020","25","25","21","100%",
"01/12/2020","21","21","19","100%",
"30/11/2020","31","28","24","89%","4m, 20s"
"29/11/2020","8","7","6","86%","39s"
"28/11/2020","22","19","17","84%","10m, 33s"
"27/11/2020","43","36","31","83%","8m, 9s"
"26/11/2020","23","21","18","90%","11m, 51s"
"25/11/2020","22","19","16","89%","15m, 2s"
"24/11/2020","26","19","15","79%","7m, 7s"
"23/11/2020","27","21","20","86%","31m, 16s"
"22/11/2020","19","14","13","86%","14m, 39s"
"21/11/2020","10","9","9","89%","4s"
"20/11/2020","15","13","12","85%","9m, 2s"
"19/11/2020","13","10","10","80%","9m, 51s"
"18/11/2020","42","33","24","79%","8m, 48s"
"17/11/2020","22","22","21","100%",
"16/11/2020","36","34","27","94%","6m, 28s"
"15/11/2020","10","9","9","89%","25s"
"14/11/2020","24","23","21","96%","52s"
"13/11/2020","33","29","25","90%","13m, 48s"
"12/11/2020","31","27","24","89%","10m, 20s"
"11/11/2020","33","28","21","86%","10m, 2s"
"10/11/2020","28","25","23","88%","8m, 28s"
"09/11/2020","41","33","25","82%","11m, 17s"
"08/11/2020","7","6","6","83%","9s"
"07/11/2020","14","11","10","82%","4m, 55s"
"06/11/2020","16","14","12","86%","6m, 19s"
"05/11/2020","10","9","8","89%","19s"
"04/11/2020","15","12","10","83%","14m, 19s"
"03/11/2020","20","18","17","89%","6m, 56s"
"02/11/2020","32","28","27","89%","18m, 17s"
"01/11/2020","5","5","5","100%",
"31/10/2020","18","17","16","94%","21s"
"30/10/2020","32","30","26","93%","9m, 27s"
"29/10/2020","32","29","25","90%","6m, 32s"
"28/10/2020","29","28","26","96%","36s"
"27/10/2020","20","19","18","95%","26m, 42s"
"26/10/2020","22","18","15","83%","4m, 5s"
"25/10/2020","7","7","7","100%",
"24/10/2020","20","15","15","73%","43s, 500ms"
"23/10/2020","17","16","15","94%","21m, 8s"
"22/10/2020","17","15","12","87%","15m, 8s"
"21/10/2020","19","15","12","87%","11m, 4s"
"20/10/2020","15","15","13","100%",
"19/10/2020","47","36","29","83%","1m, 36s"
"18/10/2020","9","8","8","88%","6m, 21s"
"17/10/2020","18","13","11","92%","43m, 52s"
"16/10/2020","13","12","12","92%","12m, 6s"
"15/10/2020","19","17","17","94%","5m, 27s"
"14/10/2020","25","25","22","100%",
"13/10/2020","20","19","18","100%","2s"
"12/10/2020","26","22","19","86%","1m, 13s"
"11/10/2020","9","8","7","88%","3m, 15s"
"10/10/2020","12","11","10","91%","22m, 26s"
"09/10/2020","21","16","13","81%","30m, 24s"
"08/10/2020","18","17","16","94%","5m, 13s"
"07/10/2020","20","20","19","100%",
"06/10/2020","18","16","15","94%","6m, 29s"
"05/10/2020","25","24","19","96%","29m, 55s"
"04/10/2020","11","9","7","78%","4m, 58s"
"03/10/2020","15","12","11","75%","6m, 58s"
"02/10/2020","19","16","14","88%","17m, 8s"
"01/10/2020","13","13","13","100%",
"30/09/2020","14","12","11","83%","5m, 54s"
"29/09/2020","15","15","13","100%",
"28/09/2020","30","24","22","75%","6m, 167ms"
"27/09/2020","8","8","8","100%",
"26/09/2020","18","16","15","88%","24m, 44s"
"25/09/2020","28","27","25","96%","4m, 40s"
"24/09/2020","17","15","15","87%","26s"
"23/09/2020","27","24","21","92%","6m, 51s"
"22/09/2020","20","17","16","94%","48m, 23s"
"21/09/2020","50","45","35","89%","6m, 7s"
"20/09/2020","18","18","15","100%",
"19/09/2020","14","13","12","92%","26m, 28s"
"18/09/2020","19","16","16","81%","1m, 25s"
"17/09/2020","16","14","12","86%","2m, 15s"
"16/09/2020","18","18","16","100%",
"14/09/2020","18","16","15","94%","8m, 22s"
"13/09/2020","24","17","15","71%","4m, 58s"
"12/09/2020","17","14","12","86%","20m, 47s"
"11/09/2020","16","15","9","93%","37s"
"10/09/2020","17","14","12","86%","1m, 15s"
"09/09/2020","12","11","10","91%","28m, 38s"
"08/09/2020","19","18","14","94%","4m, 17s"
"07/09/2020","48","36","22","78%","12m, 50s"
"06/09/2020","9","9","9","100%",
"05/09/2020","5","5","5","100%",
"04/09/2020","18","16","13","88%","16m, 41s"
"03/09/2020","12","12","10","100%",
"02/09/2020","8","7","7","86%","27m, 41s"
"01/09/2020","15","14","13","93%","36s"
"31/08/2020","17","13","12","77%","11m, 24s"
"30/08/2020","8","7","5","86%","3m, 39s"
"29/08/2020","5","5","5","100%",
"28/08/2020","22","20","16","90%","8m, 34s"
"27/08/2020","16","14","11","86%","17m, 29s"
"26/08/2020","15","15","12","100%",
"25/08/2020","9","8","7","88%","7m, 52s"
"24/08/2020","17","16","13","94%","1m"
"23/08/2020","7","7","7","100%",
"22/08/2020","3","3","3","100%",
"21/08/2020","8","7","6","86%","22m, 12s"
"20/08/2020","16","16","14","100%",
"19/08/2020","20","18","14","89%","1m, 1s"
"18/08/2020","18","16","14","88%","5m, 3s"
"17/08/2020","26","24","18","92%","10m, 39s"
"16/08/2020","5","5","4","100%",
