"Country","Page views","Site sessions","Unique visitors"
"Singapore","23,003","20,094","12,083"
"Malaysia","81","68","56"
"United States","71","66","62"
"India","66","55","45"
"Philippines","35","30","24"
"Australia","38","29","28"
"Indonesia","29","27","18"
"Hong Kong","17","17","17"
"United Kingdom","17","14","14"
"Thailand","14","14","11"
"Germany","13","11","11"
"Canada","11","9","7"
"Vietnam","9","8","5"
"Japan","7","7","7"
"South Korea","8","6","3"
"Netherlands","7","6","2"
"Taiwan","4","4","2"
"Bangladesh","7","4","4"
"France","3","3","3"
"New Zealand","5","3","3"
"Nepal","3","3","3"
"Pakistan","5","3","3"
"Unknown","2","2","2"
"China","2","2","2"
"Brazil","2","2","1"
"Sri Lanka","2","2","2"
"Cambodia","2","2","2"
"Saudi Arabia","2","2","2"
"Jamaica","2","2","2"
"United Arab Emirates","2","2","2"
"Spain","1","1","1"
"Finland","1","1","1"
"Brunei","1","1","1"
"Trinidad and Tobago","1","1","1"
"Denmark","1","1","1"
"Egypt","1","1","1"
"Russia","1","1","1"
"Uzbekistan","2","1","1"
"Colombia","1","1","1"
"Norway","1","1","1"
