"Session day","Session hour","Avg. sessions by day"
"Saturday","23","1"
"Saturday","10","1"
"Saturday","18","1"
"Saturday","16","1"
"Saturday","19","1"
"Saturday","8","1"
"Saturday","6","1"
"Saturday","1","1"
"Saturday","21","1"
"Saturday","7","1"
"Saturday","2","1"
"Saturday","14","1"
"Saturday","13","1"
"Saturday","20","1"
"Saturday","15","1"
"Saturday","9","2"
"Saturday","4","1"
"Saturday","11","1"
"Saturday","22","1"
"Saturday","5","1"
"Saturday","17","1"
"Saturday","3","1"
"Saturday","12","1"
"Saturday","0","1"
"Friday","8","1"
"Friday","19","1"
"Friday","5","1"
"Friday","12","2"
"Friday","1","1"
"Friday","14","1"
"Friday","15","1"
"Friday","10","2"
"Friday","16","1"
"Friday","18","2"
"Friday","4","1"
"Friday","0","1"
"Friday","6","1"
"Friday","2","1"
"Friday","22","1"
"Friday","23","1"
"Friday","17","1"
"Friday","9","2"
"Friday","11","2"
"Friday","3","1"
"Friday","21","1"
"Friday","7","1"
"Friday","20","1"
"Friday","13","1"
"Thursday","14","1"
"Thursday","9","1"
"Thursday","12","1"
"Thursday","17","1"
"Thursday","7","1"
"Thursday","6","1"
"Thursday","11","1"
"Thursday","22","1"
"Thursday","21","1"
"Thursday","18","1"
"Thursday","16","1"
"Thursday","15","1"
"Thursday","19","1"
"Thursday","4","1"
"Thursday","5","1"
"Thursday","20","1"
"Thursday","13","1"
"Thursday","8","1"
"Thursday","23","1"
"Thursday","10","1"
"Thursday","0","1"
"Thursday","1","1"
"Wednesday","17","1"
"Wednesday","7","1"
"Wednesday","2","1"
"Wednesday","9","2"
"Wednesday","23","1"
"Wednesday","1","1"
"Wednesday","10","2"
"Wednesday","4","1"
"Wednesday","3","1"
"Wednesday","16","2"
"Wednesday","6","1"
"Wednesday","19","1"
"Wednesday","20","1"
"Wednesday","0","1"
"Wednesday","13","2"
"Wednesday","22","1"
"Wednesday","5","1"
"Wednesday","12","2"
"Wednesday","11","2"
"Wednesday","8","2"
"Wednesday","14","1"
"Wednesday","15","2"
"Wednesday","18","1"
"Wednesday","21","1"
"Tuesday","8","1"
"Tuesday","22","1"
"Tuesday","5","1"
"Tuesday","16","1"
"Tuesday","18","1"
"Tuesday","11","1"
"Tuesday","4","1"
"Tuesday","12","2"
"Tuesday","20","1"
"Tuesday","10","1"
"Tuesday","7","1"
"Tuesday","19","1"
"Tuesday","17","1"
"Tuesday","13","1"
"Tuesday","1","1"
"Tuesday","14","1"
"Tuesday","6","1"
"Tuesday","3","1"
"Tuesday","23","1"
"Tuesday","21","1"
"Tuesday","0","1"
"Tuesday","15","1"
"Tuesday","2","1"
"Tuesday","9","2"
"Monday","16","2"
"Monday","17","1"
"Monday","22","1"
"Monday","1","1"
"Monday","11","2"
"Monday","2","1"
"Monday","20","1"
"Monday","6","1"
"Monday","18","1"
"Monday","19","1"
"Monday","4","1"
"Monday","15","2"
"Monday","14","1"
"Monday","23","1"
"Monday","10","2"
"Monday","3","1"
"Monday","8","2"
"Monday","13","1"
"Monday","0","1"
"Monday","7","1"
"Monday","21","1"
"Monday","5","1"
"Monday","12","2"
"Monday","9","2"
"Sunday","8","1"
"Sunday","22","1"
"Sunday","21","1"
"Sunday","0","1"
"Sunday","7","1"
"Sunday","1","1"
"Sunday","6","1"
"Sunday","11","1"
"Sunday","15","1"
"Sunday","18","1"
"Sunday","4","1"
"Sunday","17","1"
"Sunday","12","1"
"Sunday","10","1"
"Sunday","13","1"
"Sunday","5","1"
"Sunday","2","1"
"Sunday","14","1"
"Sunday","23","1"
"Sunday","19","1"
"Sunday","16","1"
"Sunday","9","1"
"Sunday","20","1"
